ABIRATERONE	2174974
ACEBUTOLOL	3737818;3731106;3768084;3614636;3502096;3193471;3720858;3729285;3852353;3786194;3317312;3502073;3481715;3538622;3736664;3730124;3594997;3852347;3658409;3404703;3546662;3540961;3712528;3738031;3658390;3722254;3729262;3594974;3528411;3530744;3594968;3595005;3220771;3514780;3738433;3736575;3614642;3785088;3304605;3864913;3785071;3781334;3768090;3722656;3546656
ACECLOFENAC	3727984;3727990;3898711;4997421;3456657
ACENOCOUMAROL	3366291;3096584;3356430
ACEPROMAZINE	3150728
ACEPROMETAZINE	3065856;3150728
ACETAZOLAMIDE	3030527
ACETYLSULFAFURAZOL	3368723;3302167
ACICLOVIR	3611158;3794986;3556666;3486150;3260687;3359397;3463887;3486167;3781475;3782902;3556614;3794940;3593058;3556620;3270817;3794963;3483128;3656830;3593124;3341121;3781469;3781498;3463901;3341138;3781481;3460570;3581546;3782894;3468809;3627490
ACIDE ACETYLSALICYLIQUE	3432349;3358854;3368781;3189363;3512522;3007244;3324737;3189819;3598481;3430014;3404695;3007474;3415635;3007818;3473590;3270361;3570672;5579418;3473615;3483097;3187559;3288875;3342480;3514685;3351510;3122689;3289142;3820637;3353153;3397340;3007468;3698739;3474419;3737698;3368976;3590226;3373285;3261020;3291104;3007681;3292687;3221380;3206245;3206251;3187884;3118340;3514679;3322655;3609517;3325085
ACIDE ALENDRONIQUE	3665036;3749218;3780872;3692518;3702234;3595637;3743701;4950141;3770141;4928696;4950046;3914278;3708716;3825008;4928667;3824983;4950187;3595666;4950052;3708780;3914290;3820198;4950193;3743629;3914433;3708768;4950158;3820181;3914108;3743606;3914462;4950112;3914120;3702180;3702168;3914574;3743724;3770164;3708679;3820229;3708656;3780895;3914551;3708952;3820212;3406731;3708975;3837075;3837052
ACIDE AMIDOTRIZOIQUE	3178690;3089466;3008083
ACIDE ASCORBIQUE	3019661;3006960;3051914;3268387;3405140;3421357;3323063;3335959;3343597;3584846;3354164;3870687;3570614;3672711;3575304;4989835;3197500;3545556;3368781;3544611;3118794;3771488;3292747;3292546;3303830;3187565;3571855;3159089;3788164;3324370;3545622;3405134;3916722;3400705;3242956;3107017;3761053;3490542;3566848;3046563;3163346;3527794;3303994;3482991;3571861;3303876;3676695;3110870;3107023;3916768;3242910;3565292;3545585;3544634;3357300;3570896;3766501;3570904;3088745;3637324;3172954;3565719;3544580;3494764;3695474;3840338;3351579;3288875;3270591;3007681;3292718;3194200;3630977;3630960;3325085
ACIDE CLODRONIQUE	3620660;3404241
ACIDE ETIDRONIQUE	3583025;3450985;3330620;3652565;3243588
ACIDE FOLINIQUE	3475494;3479718;3367296;3307377;3325702;3489881;3489898;3489906
ACIDE FOLIQUE	3358860;3291819;3584585;3676695;3571855;5651239;3615570;3570904;3570896;3565719;3527794;3571861;3040891;3576605
ACIDE FUSIDIQUE	3322721;3322715;3676637
ACIDE IBANDRONIQUE	3716584;3768718;4985228;3634857;4985211;3716578
ACIDE IOXAGLIQUE	3274784;3607530;3230479;3239138;3230433
ACIDE IOXITALAMIQUE	3280773;3171601;3201070;3274809;3135551;3274815;3135545
ACIDE MEFENAMIQUE	3085244
ACIDE NICOTINIQUE	3650661
ACIDE NIFLUMIQUE	3072879
ACIDE PAMIDRONIQUE	3687960;3688008
ACIDE RISEDRONIQUE	2193888;2193894;2221053;2221047;4157282;4170383;4973478;4969502;4973461;4973490;4924540;4973509;4978837;3828455;4974911;4945708;4974897;4961883;4972898;4991849;4972527;4924563;2194020;4972958;3615771;2194043;4969488;3534067;4974561;4169351;4974615;4945720;4927797;4911313;4974638;4972964;3534038;3666685;4169405;4940958;3813057;4974124;4940941;4972504;4978814;4974584;4961937;4974101;3543623;3845703;3845689;3543669
ACIDE SALICYLIQUE	3369852;3197813;3164179;3045411
ACIDE TIAPROFENIQUE	3530690;3614211;3517459;3830771;3530709;3239948;3673596;3177928
ACIDE TILUDRONIQUE	3385532
ACIDE URSODESOXYCHOLIQUE	2193121;3234075;3234164;2190625;2190660
ACIDE VALPROIQUE	3655173;3696700;3984853;3673886;4998024;3696657;3696611;3655138;3029300;3263450;3696692;3673863;3693469;3696686;3673857;3655121;3029292;3301802;3696640;3696597;3655115;3655144;3715745;3696634;3192276;3487623;3544427;3487669
ACIDE ZOLEDRONIQUE	3618769;2175264;3658711;2699547
ACITRETINE	3312639;3312674
ADALIMUMAB	3622305;4185172;3780145
ADEFOVIR	3615676
ADRENALINE	3195263;3115241;3195317;5001145;3293190;3615736;3615713;3615707;5654605;3115212;3615742
AGOMELATINE	3943305
ALBENDAZOLE	3297041;3684826
ALFACALCIDOL	3484145;3260842;3336686;3232432;3336663;3484151;3476163
ALFUZOSINE	3704523;3907628;3710736;3704500;3704552;3511066;3511103;3704546;3813755;4900930;2168749;4900373;3704486;3732100;3863196;3301601;4900189;3331246
ALIMEMAZINE	3105283;3105337;3105308
ALISKIREN	3921545;3921516;3990084;3990090;3921539
ALISKIRENE	3921545;3921516;3990084;3990090;3921539
ALITRETINOINE	3896008;3896020
ALIZAPRIDE	3224148;3248640
ALLOPURINOL	3222959;3624008;3574664;3658295;3489415;3259833;3548000;3534311;4962003;2167744;2196013;3262982;3574641;3656853;2196071;3790959;3393112;3454397;3659716;3537870;4985599;2168005;3272727;3489450;4961794;2196059;2167589;3614257;3489438;2167307;3454380;3356861;2167626;3614234;3355287;3790965;4985731;3454405;4985754;3574598;2167891;4962368;3537864;3790942;3537858
ALMINOPROFENE	3342468
ALMOTRIPTAN	3586070;3556146
ALPHA-TOCOPHEROL	4900574;3571861;3658496;3565719;3571855;4900485;3405134;3407564;3224792;3405140;3688267;3765513;3405714;3565346;3547880;3110870;3840338;3358297;3051914;3264550;3031159;3770106;3163346;3614576;3771488
ALPRAZOLAM	4969525;3674207;3780091;3456321;3780085;3658415;3674213;3582959;3621004;4969531;3581776;3620967;3483766;3618172;3581730;3620950;3264449;3456315;3581782;3485742;3264455;3619088;3658289;3485759;3489119;3642911;3483252;3620944;3489102;3620996;3642905;3620973
ALTIZIDE	3485481;3512551;3544284;3404583;3723348;3611649;3496616;3409764;3514768;3729055;3673780;3597872;3739272;3729693;3738315;3784812;3666627;3002152;3522377
ALVERINE	3094740;3233762;3432591;3325406
AMANTADINE	3153371
AMBENONIUM	3069848
AMILORIDE	3417798;3150208;3728653;3149240;3220937;3297578;3519205;3768351
AMIODARONE	3556821;4985636;3567351;3540719;3558808;3658272;3537769;3454440;3199976;3673604;3025650;3556809;3567345;3537752;3794383;3611425;3558820
AMISULPRIDE	3284452;3644347;3680610;3710742;3675394;3864534;3626473;3674259;3675402;3487474;3685719;3473621;3672792;3938563;3649994;3628644;3636158;3644695;3638105;3644726;3655807;3864474;3621702;4935667;3665450;3644241;3680685;3672881;3487480;3674242;3693386;3528701;3680604;3636129;3639317;3632611;4935727;3672817
AMITRIPTYLINE	3057294;3057302;3057325;3035163;3057319
AMLODIPINE	3743919;3791568;3885772;3755986;3873214;3743983;3885743;3858433;3724388;3807358;3774357;3771264;4972473;3791574;3781771;3967524;3797772;3797766;3755963;3783126;3973275;3858143;3757554;3885430;3797447;3769468;4942207;3797737;3885418;3734955;3873237;3885401;3967518;3755940;3797660;3743960;3774363;3967464;3791605;3781759;3755992;3794495;4972450;3858025;4946553;3797677;3783103;3792817;3331358;3744066;4942242;3757548;3734990;3813962;4946547;3823512;3744072;3885789;3750109;3771235;3797720;3791611;3750121;3769451;4946582;4942294;3858315;3797743;3835716;4972390;3771465;3792800;4946524;3781788;3781802;3858278;3885826;3770069;4972421;3967470;3781819;3797714;3331335;3692984;3858195;3885803;3807364;4942271;3334196;3784551;3815062;3791597;3791580;3750138;3815079;3835722;3724371;3973306;3781831;3973364;3885447;3885849;3885387;3794489;3973335;3784404;3334167;3784410;3823529;3750115;3784545;3885476;3771471;3858396;3693050;4946493;3770052;3743902;4946470;3746409;3746384;3858060;4946576;3797453;4946530
AMOXAPINE	3333860;3308603
AMOXICILLINE	3508207;3508182;3304031;5550001;3233207;3673202;3869804;3611276;3597978;3754099;3673225;3679601;3430304;3611201;3656238;3673219;3754082;3759524;3525246;3656327;3558286;3608908;3791025;3393052;3656221;3603609;3234520;3608914;3606163;3329522;3417172;3594856;3773607;3234543;3385868;3406122;3658243;3597984;3525223;3518660;3705439;3610070;3576568;3533895;3558292;3602722;3319819;3524330;3385905;3761478;3594862;3305496;3611224;3742883;3611230;3761461;3385704;3628503;3673231;3791031;3611247;3537806;3628495;3680337;3525217;3754159;3619622;3791019;3773429;3533464;3611253;3533777;3258584;3668313;3576580;3445116;3882911;3759530;3608802;3628526;3773412;3576597;3773582;3603584;3445085;3773642;3668299;3385880;3533702;3603590;3773553;3638074;3315477;3535575;3773754;3533754;3608794;3594827;3158753;3638068;3211105;3791054;3535552;3576574;3742860;3594916;3673633;3439251;3533725;3668307;3600002;3750144;3750150;3506740;3705416;3568445;3533872;3868259;3594891;3673627;3773501;3773487;3525192;3611193;3673194;3754165;3855185;3532559;3518683;3673610;3406174;3628532;3537798;3393069;3773748;3656333;3754113;3594879;3773659;3533547;3533837;3844342;3393075;3844336;3670818;3920787;3568451;3754136;3443382;3230002;3594833;3579615;3705391;3673188;3688296;3882934;3542813;3443399;3568468;3535569;3680343;3406091;3773576;3533501;3533524;3674271;3525186;3920741;3791083;3674265;3673248;3594885;3611218;3670801;3791108;3656273;3666573;3610064;3656296;3211128;3234537;3331401;3533487;3606186
AMPHOTERICINE B	3462422;3041867;3213280
AMPICILLINE	3337332;5592264
ANAGRELIDE	3651790
ANAKINRA	3594678;3594661
APIXABAN	4194550
APOMORPHINE	4974064;3387063;3387057;3556229
APREPITANT	3635093;3635070;3635118
ARIPIPRAZOLE	3640697;3692145;3692174;3640786;3640734
ATAZANAVIR	3848794;3640438;3848788;3640450
ATENOLOL	3299962;3876307;3355318;3674288;3780820;3564418;3795193;3731678;2169513;3739591;3722685;2169499;3739119;3731773;3731690;3553917;3574210;3729575;3844141;3712497;3574204;3593443;3714272;3722716;3739094;3715018;3728736;3791516;3728682;2168726;3728699;3780843;3722745;3564424;3729701;3714295;3839559;3355330;4948500;3722722;3306159;3839476;3714993;3557565;3712505;3728713;3729919;3299956;3795170;3574173;3731804;3720083;3729954;3714243;3844135;3513639;3876313;2168695;3714220;3720114;4948492;3442655;3674294;3739579;3557559;3557513;3306188
