"molecule"	"famille"
"ABCIXIMAB (C 7E3B FAB)"	"ANTIAGREGANTS PLAQUETTAIRES"
"ACEBUTOLOL"	"ANTIHYPERTENSEURS"
"ACEBUTOLOL"	"ANTIHYPERTENSEURS SAUF ALPHA-BLOQUANTS"
"ACEBUTOLOL"	"BETA-BLOQUANTS (SAUF ESMOLOL ET SOTALOL)"
"ACEBUTOLOL"	"BETA-BLOQUANTS (SAUF ESMOLOL)"
"ACEBUTOLOL"	"BRADYCARDISANTS"
"ACEBUTOLOL"	"MEDICAMENTS ABAISSANT LA PRESSION ARTERIELLE"
"ACECLOFENAC"	"ANTI-INFLAMMATOIRES NON STEROIDIENS"
"ACECLOFENAC"	"HYPERKALIEMIANTS"
"ACENOCOUMAROL"	"ANTICOAGULANTS ORAUX"
"ACEPROMAZINE"	"HYPNOTIQUES"
"ACEPROMAZINE"	"MEDICAMENTS ABAISSANT LA PRESSION ARTERIELLE"
"ACEPROMAZINE"	"MEDICAMENTS ABAISSANT LE SEUIL EPILEPTOGENE"
"ACEPROMAZINE"	"MEDICAMENTS ATROPINIQUES"
"ACEPROMAZINE"	"MEDICAMENTS SEDATIFS"
"ACEPROMAZINE"	"NEUROLEPTIQUES"
"ACEPROMAZINE"	"NEUROLEPTIQUES PHENOTHIAZINIQUES"
"ACEPROMETAZINE"	"HYPNOTIQUES"
"ACEPROMETAZINE"	"MEDICAMENTS ABAISSANT LA PRESSION ARTERIELLE"
"ACEPROMETAZINE"	"MEDICAMENTS ABAISSANT LE SEUIL EPILEPTOGENE"
"ACEPROMETAZINE"	"MEDICAMENTS ATROPINIQUES"
"ACEPROMETAZINE"	"MEDICAMENTS SEDATIFS"
"ACEPROMETAZINE"	"NEUROLEPTIQUES"
"ACEPROMETAZINE"	"NEUROLEPTIQUES PHENOTHIAZINIQUES"
"ACETAZOLAMIDE"	"ALCALINISANTS URINAIRES"
"ACETYLSULFAFURAZOL"	"SULFAMIDES ANTIBACTERIENS"
"ACICLOVIR"	"MEDICAMENTS NEPHROTOXIQUES"
"ACIDE ACETYLSALICYLIQUE"	"ANTIAGREGANTS PLAQUETTAIRES"
"ACIDE ALENDRONIQUE"	"BISPHOSPHONATES"
"ACIDE AMIDOTRIZOIQUE"	"MEDICAMENTS NEPHROTOXIQUES"
"ACIDE AMIDOTRIZOIQUE"	"PRODUITS DE CONTRASTE IODES"
"ACIDE CHENODESOXYCHOLIQUE"	"ACIDES BILIAIRES"
"ACIDE CLODRONIQUE"	"BISPHOSPHONATES"
"ACIDE CLODRONIQUE"	"MEDICAMENTS NEPHROTOXIQUES"
"ACIDE ETIDRONIQUE"	"BISPHOSPHONATES"
"ACIDE FOLINIQUE"	"FOLATES"
"ACIDE FOLIQUE"	"FOLATES"
"ACIDE IBANDRONIQUE"	"BISPHOSPHONATES"
"ACIDE IOXAGLIQUE"	"MEDICAMENTS NEPHROTOXIQUES"
"ACIDE IOXAGLIQUE"	"PRODUITS DE CONTRASTE IODES"
"ACIDE IOXITALAMIQUE"	"MEDICAMENTS NEPHROTOXIQUES"
"ACIDE IOXITALAMIQUE"	"PRODUITS DE CONTRASTE IODES"
"ACIDE MEDRONIQUE"	"BISPHOSPHONATES"
"ACIDE MEFENAMIQUE"	"ANTI-INFLAMMATOIRES NON STEROIDIENS"
"ACIDE MEFENAMIQUE"	"HYPERKALIEMIANTS"
"ACIDE NIFLUMIQUE"	"ANTI-INFLAMMATOIRES NON STEROIDIENS"
"ACIDE NIFLUMIQUE"	"HYPERKALIEMIANTS"
