	1416
3879346	94
9727726	16
511143	1
7823905	6
7725485	20
4749976	4
4231452	2
7979797	2
4519638	5
789430	3
3409327	2
4485773	811
511137	364
6186856	2
3639665	449
4446158	2
9693855	2
4231446	20
5353737	2
4519644	2
0	8984
4965680	1
1	18
2	59
3	14
3135798	16577
4	4
4485767	460
5	166
320408	4
4725993	1
6	1
7	80
8	28
9693861	1
7725479	22
9	1
3855363	374
4749982	3
4808816	1
511166	135
9918449	2
3615682	167
4725987	2
598701	1
4519650	2
765435	2
1890059	11
3640645	2
7245590	1
9727703	24
4989663	212
4485796	141
4446141	3
4711347	5
3650017	420
3615699	67
7054803	2
7725491	96
560101	1
535103	2
3639642	535
4446135	5
3688617	15
3640639	119
7520100	1
3566185	3
7304401	3
4725970	3
9630286	3
4975017	18
3894995	31606
4808822	1
4808839	15
3640622	169
7916185	6
559121	1
9693826	1
4975046	115
511189	1
3410365	885
4485738	1451
789476	1
3409362	8
3615676	140
7916191	4
7774443	4
3694	1
3664686	969
4196572	4475
4941656	28
7304424	2
511172	781
4485721	776
559109	6
4711399	5
3870983	1629
3424982	189
4711382	1
9693849	2
9149330	1
4833814	2
2640838	2
1890013	2
1169451	6
4808851	1
4485750	955
3615647	1414
4529016	4
9776707	8
6666711	1
511195	182
3688652	1
3615653	1706
7774420	34
4711376	60
9918490	1
7412272	42
4485744	150
4808868	3
3145130	1
7774495	1
2410506	50
501736	5
6269737	13
2639864	1
4593600	32
3938244	10
4530025	1
6206168	13
3326452	145
501742	1
4328973	1
3723532	1
3581753	1442
6269720	5
4701969	4
1493051	4
3953870	35
3400929	1
6088355	2
6965336	1
4328967	6
3566127	92
6642716	4
114100	103
4529045	1
4843184	8
2640873	1
6206180	8
6269714	2
4495197	2
6642745	58
4529051	1
848351	1
4328996	1
12411	3
3581730	1409
3963213	558
138106	2316
6206174	7
4843190	4
3542150	2454
8906651	1
6642739	6
138112	18
4529068	1
6162815	1
7857318	1
848368	1
128796	1
7064285	2
4725964	4
3879381	14
4231498	2
3880378	119
9860520	1
4328938	5
3987225	2738
3963236	9735
3640697	4600
3581799	734
9860508	1
3566162	1
4231481	3
6485464	1
9811591	1
907208	32
7617643	2
6162838	1
9860514	1
6941347	2
6147218	15
511120	1264
4926094	128
3639694	107
3424901	627
3400937	1
6123270	4
4328950	3
4231475	4
3581782	116
4593623	48
3400935	67
3566156	97
7558739	1
4593617	6
4882793	2
6088349	2
7833298	4
7617637	3
5666904	2
3581776	84
3400941	63
3640674	6
511114	31
7833281	2
7617620	3
4989611	218
3194105	415
1649381	147
3664628	2
114123	22
2591330	1
511108	931
7833275	1
7412303	9
7617695	1
4843244	15
2434553	95
3556726	197
3302411	339
6040466	1
75972	13
7666624	25
138046	2
3723495	141
4843250	10
4172608	430
61332	3
6520373	2
7666618	18
138052	223
114063	1
907243	72
3243588	2
3302405	1581
2121280	1
9101435	1
922886	1
4843221	69
2434576	45
7882345	5
3302434	507
7666647	14
2204238	3
114057	94
7931842	1
9017491	8
75995	11
403206	416
163009	1
9546485	1
7617666	1
7666630	19
7931836	18
4843238	40
75989	4
2121274	16
138075	2031
3963176	2590
584165	2
1072071	317
7882368	14
9811622	2
7808277	1
956201	1
6280176	28
3581718	91
584159	1
138000	1
7808283	3
584171	44
4843296	5
4314379	56
7882351	3
3806436	1
7436321	1
501802	17
4123691	1
9017462	6
6206197	8
598799	2
4353988	11
9884503	1
7882380	5
3581701	5
3914290	37
12339	14
3458395	5776
3292546	119
9605236	2
7666601	6
6583882	1
4843267	27
114092	98
3517175	3
6759068	5
138023	2
403241	103
6269743	21
4843273	9
584194	3
3556755	6
7882374	4
7823897	18
3497975	9
9992351	1
4353965	4
3517181	1
4882847	1
9884526	3
4314391	453
3483335	1340
3615742	133
8666431	62
4941627	22
3914278	72
4206419	7
9727689	17
6015422	4
3698018	244
9884532	2
3639719	713
584113	3
1865038	8
3688681	456
6196151	1
3688675	142
2160819	1
2615763	2
7882397	7
4001060	1
2184808	15
4206425	3
4833820	4
7808248	25
7304341	9
7823874	7
163067	3
163073	417
9727672	4
4808880	5
7666699	5
3615759	74
1361154	1
3639702	266
344432	4
4280367	2
9693803	1
75908	1
4485709	863
9017410	2
4485715	164
3410388	13
1938636	1
7808219	14
1865050	6
4808897	2
6172162	1
584136	32
3409385	32
7353316	1
3473986	1420
9017404	1
7808225	2
9605265	1
3410371	1
163096	226
6172179	1
3458366	1
9884561	2
1723901	4
3111869	422
3135812	7
3615736	91
4280344	3
3013285	57
7965195	20
7172193	26
3698053	1148
6040414	2
4363372	33
4843209	4
6040420	4
222060	2
1880635	5
4833872	2
4280396	2
3615707	317
3399528	37
9654223	1
9884578	3
2517345	1
5001085	2
3855446	475
560124	1
598718	3
7029828	2
4363389	6
3121247	1
6040408	1
246043	1
3434348	1
222054	41
4843215	48
9630263	5
7725433	68
7666653	1
3615713	798
138098	1614
7725462	83
7965172	8
598747	11
4833895	7
8666419	13
246008	14
319434	2
8882198	2
7426937	1
246014	7
4280373	1
7666682	6
6353544	1
1865009	1
559173	4
4001083	1
3375580	2578
4363366	3
8666425	12
598730	1
9316118	1
246020	4
1900071	3
163050	43
222077	548
3399534	49
7725456	152
7666676	10
5001079	1
3135858	26306
584107	125
7965189	21
6294758	1
3640786	3454
3880214	158
3664752	1664
3688729	365
9629188	3
9400066	3
3650112	867
4294903	71
7015358	50
3160885	2
4485891	3
246072	137
4808911	1
9693737	1
4808928	4
7245443	2
9400050	1
9870079	3
9629194	1
